Year,Country,Region,Index,Source,Sector,Sub-sector,Sub-sub-sector,mt_CO2eq
1990,Canada,Canada,0,National Inventory Total,,,,588.6028116
1990,Canada,Canada,1,Oil and Gas,,,,100.4586192
1990,Canada,Canada,2,Oil and Gas,Upstream Oil and Gas,,,80.56974571
1990,Canada,Canada,3,Oil and Gas,Upstream Oil and Gas,Natural Gas Production and Processing,,32.28388557
1990,Canada,Canada,4,Oil and Gas,Upstream Oil and Gas,Conventional Oil Production,,21.04013617
1990,Canada,Canada,5,Oil and Gas,Upstream Oil and Gas,Conventional Oil Production,Conventional Light Oil Production,12.62694028
1990,Canada,Canada,6,Oil and Gas,Upstream Oil and Gas,Conventional Oil Production,Conventional Heavy Oil Production,8.15407484
1990,Canada,Canada,7,Oil and Gas,Upstream Oil and Gas,Conventional Oil Production,Frontier Oil Production,0.259121058
1990,Canada,Canada,8,Oil and Gas,Upstream Oil and Gas,"Oil Sands (Mining, In-Situ, Upgrading)",,15.13011208
1990,Canada,Canada,9,Oil and Gas,Upstream Oil and Gas,"Oil Sands (Mining, In-Situ, Upgrading)",Mining and Extraction,2.228305395
1990,Canada,Canada,11,Oil and Gas,Upstream Oil and Gas,"Oil Sands (Mining, In-Situ, Upgrading)",Upgrading,8.375007189
1990,Canada,Canada,10,Oil and Gas,Upstream Oil and Gas,"Oil Sands (Mining, In-Situ, Upgrading)",In-Situ,4.526799496
1990,Canada,Canada,44,Coal Production,,,,4.283807636
1990,Canada,Canada,12,Oil and Gas,Upstream Oil and Gas,"Oil, Natural Gas and CO2  Transmission",,12.11561189
1990,Canada,Canada,13,Oil and Gas,Downstream Oil and Gas,,,19.88887347
1990,Canada,Canada,14,Oil and Gas,Downstream Oil and Gas,Petroleum Refining,,18.28527111
1990,Canada,Canada,15,Oil and Gas,Downstream Oil and Gas,Natural Gas Distribution,,1.603602362
1990,Canada,Canada,16,Electricity,,,,94.73460574
1990,Canada,Canada,17,Transport,,,,118.3920982
1990,Canada,Canada,18,Transport,Passenger Transport,,,79.67153263
1990,Canada,Canada,19,Transport,Passenger Transport,"Cars, Light Trucks and Motorcycles",,71.2504029
1990,Canada,Canada,20,Transport,Passenger Transport,"Bus, Rail and Aviation",,8.421129731
1990,Canada,Canada,21,Transport,Freight Transport,,,30.57635691
1990,Canada,Canada,22,Transport,Freight Transport,"Heavy Duty Trucks, Rail",,25.91172308
1990,Canada,Canada,23,Transport,Freight Transport,Aviation and Marine,,4.66463383
1990,Canada,Canada,24,Transport,"Other: Recreational, Commercial and Residential",,,8.1442087
1990,Canada,Canada,25,Heavy Industry,,,,98.84625225
1990,Canada,Canada,26,Heavy Industry,Mining,,,7.170918603
1990,Canada,Canada,27,Heavy Industry,Smelting and Refining (Non-Ferrous Metals),,,17.68955945
1990,Canada,Canada,28,Heavy Industry,Pulp and Paper,,,15.16079731
1990,Canada,Canada,29,Heavy Industry,Iron and Steel,,,16.68518443
1990,Canada,Canada,30,Heavy Industry,Cement,,,10.18773923
1990,Canada,Canada,31,Heavy Industry,Lime and Gypsum,,,2.841219013
