GHGRP ID No. / No d'identification du PDGES,reference_year,facility_name,facility_location,municipality,province,postal_code,Latitude,Longitude,NAICS_code_description,company_legal_name,company_trade_name,total_emissions_tonnes_CO2e
G10001,2021,Division Alma,1100 Melanion Street,Alma,Quebec,G8B 5W2,48.565,-71.65556,Mechanical Pulp Mills,Produits forestiers Résolu,Resolute FP Canada Inc.,56673.6246
G10003,2021,"Foothills Pipeline, Alberta",,Airdrie,Alberta,T4A 2G7,,,Pipeline Transportation of Natural Gas,Foothills Pipe Lines Ltd.,Foothills Pipe Lines Ltd.,300677.799
G10004,2021,Kingston CoGen,5146 Taylor-Kidd Boulevard,Bath,Ontario,K0H 1G0,44.2095,-76.7246,Fossil-Fuel Electric Power Generation,Northland Power Inc.,Northland Power Inc.,813.635108
G10006,2021,Redwater Fertilizer Operations,56225 SH643,Sturgeon County,Alberta,T0A 2W0,53.842,-113.093,Chemical Fertilizer (except Potash) Manufacturing,Agrium Inc.,Agrium,1047645.984
G10007,2021,Alberta Envirofuels,9511 17 Street Northwest,Edmonton,Alberta,T6P 1Y3,53.53199,-113.36492,Petrochemical Manufacturing,Keyera Corp,Keyera Corp,313465.0805
G10008,2021,Alliance Pipeline Ltd. - AB Pipeline System,200 425 1st Street Southwest,Calgary,Alberta,T2P 3L8,51.049,-114.067,Pipeline Transportation of Natural Gas,Alliance Pipeline Ltd. Partnership,Alliance Pipeline,533543.4432
G10009,2021,Alberta-Pacific Forest Industries Inc.,,County of Athabasca,Alberta,T0A 0M0,54.92312,-112.86187,Chemical Pulp Mills,Alberta-Pacific Forest Industries Inc.,Alberta-Pacific Forest Industries Inc.,150583.2893
G10010,2021,Rio Tinto Alcan Inc.,1 Smeltersite Road,Kitimat,British Columbia,V8C 2H2,54.00286,-128.69531,Primary Production of Alumina and Aluminum,Rio Tinto Alcan Inc,Rio Tinto,573139.5421
G10011,2021,Algoma Steel Inc,105 West Street North,Sault Ste. Marie,Ontario,P6A 7B4,46.5217,-84.3637,Iron and Steel Mills and Ferro-Alloy Manufacturing,Algoma Steel Inc.,Algoma Steel Inc.,4111475.869
G10012,2021,Aluminerie Alouette inc.,400 Chemin de de la Pointe-Noire,Sept-Îles,Quebec,G4R 5M9,50.1583,-66.4416,Primary Production of Alumina and Aluminum,Aluminerie Alouette inc.,Aluminerie Alouette inc.,1147795.974
G10013,2021,Aluminerie de Baie-Comeau,0 100 Maritime Route,Baie-Comeau,Quebec,G4Z 2L6,49.2583,-68.1461,Primary Production of Alumina and Aluminum,Ne pas prendre - Alcoa Canada Co.,Alcoa Canada Co.,528446.541
G10014,2021,Aluminerie de Bécancour inc.,5555 Pierre Thibault,Bécancour,Quebec,G9H 2T7,46.3829,-72.3874,Primary Production of Alumina and Aluminum,Aluminerie de Bécancour inc.,Aluminerie de Bécancour inc.,865584.975
G10015,2021,ATCO Pipelines - Transmission System,7210 42 Street Northwest,Edmonton,Alberta,T6B 3H1,53.509,-113.4088,Pipeline Transportation of Natural Gas,ATCO Gas and Pipelines Ltd.,ATCO Gas and Pipelines,115672.6841
G10016,2021,Atikokan Generating Station,15202 622 Highway,Atikokan,Ontario,P0T 1C0,48.8361,-91.5656,Other Electric Power Generation,Ontario Power Generation Inc.,OPG,28924.47
G10018,2021,Battle River Generating Station,,Forestburg,Alberta,,52.5647,-112.1414,Fossil-Fuel Electric Power Generation,Alberta Power 2000 Ltd.,Heartland Generation,1098164.036
G10020,2021,Bayside Power,0 509 Bayside Drive,Saint John,New Brunswick,E2J 1B4,45.2753,-66.0269,Fossil-Fuel Electric Power Generation,New Brunswick Power Corporation,NB Power,347690
G10021,2021,Usine de Bedford,1015 de la Carriere Road,Bedford,Quebec,J0J 1A0,45.1123,-73.0129,Lime Manufacturing,Graymont (QC) Inc.,Graymont (QC) Inc.,410217.4815
G10022,2021,Belledune Generating Station,1558 Main Street,Belledune,New Brunswick,E8G 2M3,47.9058,-65.867,Fossil-Fuel Electric Power Generation,New Brunswick Power Corporation,NB Power,1749577.5
G10024,2021,Boundary Dam Power Station,,Estevan,Saskatchewan,S4A 2A6,49.09606,-103.0305,Fossil-Fuel Electric Power Generation,Saskatchewan Power Corporation,SaskPower,4286441.642
G10025,2021,Resolute Forest Products - Thunder Bay Operations,2001 Neebing Avenue,Thunder Bay,Ontario,P7E 6S3,48.3486,-89.3067,Chemical Pulp Mills,Produits forestiers Résolu,Resolute FP Canada Inc.,216911.3298
G10026,2021,Brady Road Resource Management Facility,1901 Brady Road,Winnipeg,Manitoba,R3Y 1T1,49.7583,-97.2004,Waste Treatment and Disposal,"City of Winnipeg, Water & Waste Department",Water & Waste Department,434850
G10027,2021,Brampton Assembly Plant,2000 Williams Parkway East,Brampton,Ontario,L6S 6B3,43.7512,-79.7168,Automobile and Light-Duty Motor Vehicle Manufacturing,FCA Canada Inc.,FCA,60077.61202
G10028,2021,Brandon Generating Station,3305 Victoria Avenue East,Brandon,Manitoba,R7A 7J8,49.8449,-99.8896,Fossil-Fuel Electric Power Generation,Manitoba Hydro,Manitoba Hydro,23875.62102
G10029,2021,Brazeau Gas Plant,,Drayton Valley,Alberta,,53.1812,-115.7625,Oil and gas extraction (except oil sands),Tidewater Midstream and Infrastructure Ltd.,,138963.0064
G10030,2021,Brazeau River Gas Plant,,Drayton Valley,Alberta,T7A 1S5,52.94707,-115.9026,Oil and gas extraction (except oil sands),Keyera Corp,Keyera Corp,53273.25008
G10031,2021,Brighton Beach Power,100 Broadway Street,Windsor,Ontario,N9C 4J3,42.2798,-83.0946,Fossil-Fuel Electric Power Generation,Brighton Beach Power L.P.,Brighton Beach Power L.P.,63026.14186
G10032,2021,Brock West Landfill,1390 3rd Concession,Pickering,Ontario,L1X 2R4,43.8685,-79.10054,Waste Treatment and Disposal,City of Toronto,City of Toronto,27840.63105
G10033,2021,Brookfield Cement Plant,87 Cement Plant Road,Brookfield,Nova Scotia,B0N 1C0,45.2393,-63.3347,Cement Manufacturing,Lafarge Canada Inc.,Lafarge Canada,188253.3079
G10036,2021,Burnaby Refinery,355 Willingdon Avenue North,Burnaby,British Columbia,V5C 1X4,49.29444,-122.98888,Petroleum Refineries,Parkland Refining (B.C.) Ltd.,,463163.5369
G10038,2021,"TransCanada Pipeline, Saskatchewan",0,Burstall,Saskatchewan,S0N 0H0,,,Pipeline Transportation of Natural Gas,TransCanada PipeLines Limited,TransCanada PipeLines Limited,887637.533
G10039,2021,Cabot Canada Limited,800 Tashmoo Avenue,Sarnia,Ontario,N7T 7N4,42.9437,-82.4153,All Other Basic Inorganic Chemical Manufacturing,Cabot Canada Limited,Cabot Canada Limited,219839.7975
G10040,2021,Calgary Energy Centre,14417 68 Street Northeast,Calgary,Alberta,T3N 1C6,51.18058,-113.9366,Fossil-Fuel Electric Power Generation,Calgary Energy Centre No. 2 Inc.,Calgary Energy Centre No. 2 Inc,882136.4312
G10041,2021,Island Generation,4400 Orange Point Road,Campbell River,British Columbia,V9W 4Z3,50.069,-125.282,Fossil-Fuel Electric Power Generation,V.I. Power LP,,229142.1102
G10042,2021,Calstock Power Plant,11 Highway North,Hearst,Ontario,P0L 1N0,49.0577,-81.0302,Other Electric Power Generation,Atlantic Power LP,,20066.5862
G10043,2021,Northern Lime Limited,17 Highway 17 Highway East,Blind River,Ontario,P0R 1B0,46.1982,-82.6989,Lime Manufacturing,Carmeuse Lime Canada Limited,Carmeuse Lime,130802.1907
G10044,2021,Canadian Fertilizers Limited,1250 52 Street Northwest,Medicine Hat,Alberta,T1A 7R9,50.09071,-110.71901,Chemical Fertilizer (except Potash) Manufacturing,Canadian Fertilizers Limited,Canadian Fertilizers Limited,1747450.66
G10045,2021,Cancarb Ltd.,1702 Brier Park Crescent Northwest,Medicine Hat,Alberta,T1C 1T9,50.0582,-110.7282,All Other Basic Inorganic Chemical Manufacturing,Cancarb Ltd.,Cancarb Ltd.,159890.1212
G10046,2021,"TransCanada Pipeline, Alberta System",,Fairview,Alberta,T0H 1L0,,,Pipeline Transportation of Natural Gas,Nova Gas Transmission Ltd.,Nova Gas Transmission Ltd.,4263267.439
G10047,2021,Cardinal Power,170 Henry Street,Cardinal,Ontario,K0E 1E0,44.7846,-75.3773,Fossil-Fuel Electric Power Generation,"Cardinal Power of Canada, L.P.",Cardinal Power,34259.6606
G10048,2021,Cariboo Pulp and Paper Company,50 North Star Road,Quesnel,British Columbia,V2J 3J6,52.998,-122.483,Chemical Pulp Mills,Cariboo Pulp and Paper Company,Cariboo Pulp,139134.2031
G10049,2021,Caribou North Comp Stn 11-08,0,Bonnyville,Alberta,T9N 2H4,55.0473,-110.5778,Oil and gas extraction (except oil sands),Cenovus Energy Inc.,Cenovus,32124.23547
G10050,2021,Dundas Operations,600 highway # 5 Highway West,Dundas,Ontario,L9H 3S9,43.3521,-79.8679,Lime Manufacturing,Carmeuse Lime Canada Limited,Carmeuse Lime,427809.1505
G10051,2021,Beachville Operation,374681 Oxford County 6 Road,Ingersoll,Ontario,N5C 3K5,43.0687,-80.858,Lime Manufacturing,Carmeuse Lime Canada Limited,Carmeuse Lime,382468.4528
G10052,2021,Carol Project,1 2 Avalon Drive,Labrador City,Newfoundland and Labrador,A2V 2V6,52.952,-66.9002,Iron Ore Mining,Iron Ore Company of Canada,,890017.4216
G10053,2021,Carseland Nitrogen Operations,265009 221 Township Road,Wheatland County,Alberta,,50.84620698,-113.5872876,Chemical Fertilizer (except Potash) Manufacturing,Agrium Inc.,Agrium,570959.5939
G10054,2021,Carseland Power Plant,0,Carseland,Alberta,T0J 0M0,50.90123,-113.39283,Fossil-Fuel Electric Power Generation,TransCanada Energy Ltd.,TransCanada Energy Ltd.,374778.9928
G10055,2021,Jeff Zubach,264077 221 TWP RD,Carseland,Alberta,T0J 0M0,50.8467,-113.58117,Chemical Fertilizer (except Potash) Manufacturing,Orica Canada Inc.,Orica Canada Inc,111367.7887
G10057,2021,Ingredion Canada Incorporated - London Plant,1100 Green Valley Road,London,Ontario,N6N 1E3,42.9217,-81.19,Wet Corn Milling,Ingredion Canada Corporation,Ingredion Canada Corporation,127987.29
G10058,2021,Cavalier Energy Centre,0,Strathmore,Alberta,T1P 1K3,51.0056,-113.1716,Fossil-Fuel Electric Power Generation,ENMAX Cavalier GP Inc.,,304061.0352
G10059,2021,Cavendish Farms,25532 #2 Highway,New Annan,Prince Edward Island,C1N 4J9,46.4222,-63.68,Frozen Food Manufacturing,Cavendish Farms Corporation,Cavendish Farms Corporation,88297.93
G10060,2021,Co-op Refinery Complex,550 East 9th Avenue North,Regina,Saskatchewan,S4P 3A1,50.4843,-104.5818,Petroleum Refineries,Consumers' Co-operative Refineries Limited,Consumers' Co-operative Refineries Limited,1805907.756
G10061,2021,Centrale de Cap-aux-Meules,1034 de la Vernière Road,"Cap-aux-Meules, Îles-de-la-Madeleine",Quebec,G4T 1R3,47.3743,-61.8858,Fossil-Fuel Electric Power Generation,Hydro-Québec,Hydro-Québec,117048.5862
G10064,2021,Chimie Parachem s.e.c,3500 Broadway Street,Montréal-Est,Quebec,H1B 5B4,45.6324,-73.5244,Petrochemical Manufacturing,Chimie Parachem s.e.c,Chimie ParaChem s.e.c,230941.8248
G10065,2021,Christina Lake SAGD Bitumen Battery,0,Lac La Biche,Alberta,T0P 1J0,55.5827,-110.8888,In-situ oil sands extraction,Cenovus FCCL Ltd.,Cenovus Energy Inc.,3872248.206
G10066,2021,Cimenterie de Saint-Basile,145 du Centenaire Boulevard,Saint-Basile,Quebec,G0A 3G0,46.7447,-71.8126,Cement Manufacturing,Ciment Québec inc.,Ciment Québec Inc.,823236.9314
G10067,2021,Cimenterie de Saint-Constant,1 Lafarge Road,Saint-Constant,Quebec,J5A 2G4,45.3401,-73.52367,Cement Manufacturing,Lafarge Canada Inc.,Lafarge Canada,775705.1271
G10068,2021,Electric Utility - Generation,1502 Powerhouse Road,Medicine Hat,Alberta,T1A 8E6,50.04092,-110.7219,Fossil-Fuel Electric Power Generation,City of Medicine Hat,City of Medicine Hat,582262.4339
G10069,2021,Clover Bar Energy Centre,1515 130th Avenue,Edmonton,Alberta,T6S 1E3,53.5874,-113.3647,Fossil-Fuel Electric Power Generation,Capital Power (Alberta) Limited Partnership,,238020.4074
G10070,2021,Coal Mountain Operations,0 2261 Corbin Road,Sparwood,British Columbia,V0B 2G0,49.50941,-114.65158,Bituminous Coal Mining,Teck Coal Limited,Teck Coal Limited,2192.960906
G10071,2021,Cochrane Extraction Plant,262145 Range Road 43,Cochrane,Alberta,T4C 1A4,51.2225,-114.4956,Oil and gas extraction (except oil sands),Inter Pipeline Ltd.,Inter Pipeline Ltd.,528324.9475
G10073,2021,Cold Lake,,Grande Centre,Alberta,T0A 1T0,54.59702,-110.39972,In-situ oil sands extraction,Imperial Oil Resources Limited,Imperial Oil Resources Limited,5771388.332
G10074,2021,Coleson Cove Generating Station,4077 King William Road,Saint John,New Brunswick,E2M 7T7,45.1534,-66.2025,Fossil-Fuel Electric Power Generation,New Brunswick Power Corporation,NB Power,430112.82
G10075,2021,Chatham,275 Bloomfield Road,Chatham,Ontario,N7M 5J5,42.3839,-82.2218,Other Basic Organic Chemical Manufacturing,Greenfield Global Inc.,Greenfield Global Inc.,143297.7619
G10076,2021,Rio Tinto Fer et Titane inc.- Complexe  de Sorel-Tracy,1625 Marie-Victorin,Sorel-Tracy,Quebec,J3R 1M6,46.0475,-73.13778,Iron and Steel Mills and Ferro-Alloy Manufacturing,Rio Tinto Fer et Titane inc.,,923688.078
G10079,2021,Corner Brook Pulp and Paper,1 Mill Road,Corner Brook,Newfoundland and Labrador,A2H 6J4,48.9552,-57.9485,Newsprint Mills,Corner Brook Pulp and Paper Ltd.,Corner Brook Pulp and Paper Ltd,34268.34113
G10080,2021,Cory Cogeneration Station,,Saskatoon,Saskatchewan,S7K 3K1,52.0919,-106.8475,Fossil-Fuel Electric Power Generation,Saskatchewan Power Corporation,SaskPower,556452.1974
G10082,2021,Crofton Division,8541 Hay Road North,Crofton,British Columbia,v0r 1r0,48.875,-123.645,Chemical Pulp Mills,Catalyst Paper Corporation,Catalyst Paper,187113.7352
G10085,2021,Delta Plant,7777 Ross Road,Delta,British Columbia,V4G 1B8,49.1436,-123.023,Cement Manufacturing,Lehigh Hanson Materials Ltd.,Lehigh Cement,810206.6889
G10086,2021,ATCO Gas - Distribution System,10035 105 Street Northwest,Edmonton,Alberta,T5J 2V6,53.54,-113.5,Natural Gas Distribution,ATCO Gas and Pipelines Ltd.,ATCO Gas and Pipelines,156155.3912
G10088,2021,Kruger Trois-Rivières S.E.C.,3735 Gene-H-Kruger Boulevard,Trois-Rivières,Quebec,G9A 6B1,46.33639,-72.55556,Paperboard Mills,Kruger inc,Kruger inc,101731.132
G10089,2021,Usine Kénogami,3750 de Champlain,Saguenay,Quebec,G7X 1M1,48.4289,-71.2437,Newsprint Mills,Produits forestiers Résolu,Resolute FP Canada Inc.,31128.506
G10091,2021,ArcelorMittal Dofasco,1330 Burlington Street East,Hamilton,Ontario,L8N 3J5,43.2597,-79.8111,Iron and Steel Mills and Ferro-Alloy Manufacturing,ArcelorMittal Canada MP Inc. and ArcelorMittal Canada Inc. partners in ArcelorMittal Dofasco G.P.,ArcelorMittal Dofasco,3947343.344
G10093,2021,Espanola Mill,1 Station Road,Espanola,Ontario,P5E 1R6,46.26806,-81.76806,Paper (except Newsprint) Mills,Domtar Inc.,Domtar,205376.9769
G10095,2021,East Calgary Landfill,1827 68 Street Southeast,Calgary,Alberta,T2E 2N1,51.0265,-113.9419,Waste Treatment and Disposal,City of Calgary,City of Calgary,36827.499
G10096,2021,East Crossfield Gas Plant 9-14-28-1W5,0  Crossfield,Crossfield,Alberta,T0M 0S0,51.4001,-114.0343,Oil and gas extraction (except oil sands),Taqa North Ltd.,,86331.43692
G10097,2021,Edmonton Site,4405 101st Avenue,Edmonton,Alberta,T6A 0L2,53.5397,-113.4092,Resin and Synthetic Rubber Manufacturing,Celanese Canada ULC.,,24084.959
G10098,2021,Edmonton Refinery,801 Petroleum Way,Sherwood Park,Alberta,T8H 2G2,53.55943,-113.35899,Petroleum Refineries,Suncor Energy Products Partnership,Suncor Energy Inc,1307150.088
G10099,2021,Edmundston Pulp Mill,27 Rice Street,Edmundston,New Brunswick,E3V 1S9,47.3749,-68.3333,Chemical Pulp Mills,Twin Rivers Paper Company Inc.,Twin Rivers Paper Company Inc.,49916.676
G10100,2021,Edson Gas Plant,,Edson,Alberta,,53.5575,-116.5472,Oil and gas extraction (except oil sands),Repsol Oil & Gas Canada Inc.,Repsol S.A.,189295.9576
G10101,2021,Ekati Diamond Mine,900 4920 52 Street,Yellowknife,Northwest Territories,X1A 3T1,64.7195,-110.6201,Diamond Mining,Arctic Canadian Diamond Company Ltd.,,150784.9874
G10103,2021,Elkem Métal Chicoutimi,2020 de la Réserve Road,Chicoutimi,Quebec,g7j 0e1,48.4124,-71.1307,Iron and Steel Mills and Ferro-Alloy Manufacturing,Elkem Metal Canada Inc.,Elkem Metal Canada Inc.,126884.729
G10104,2021,"Foothills Pipeline, British Columbia System",,Cranbrook,British Columbia,V1C 2N1,49.64782,-114.71692,Pipeline Transportation of Natural Gas,Foothills Pipe Lines (South B.C.) Ltd.,Foothills Pipe Lines (South B.C.) Ltd.,405396.2513
G10105,2021,Elkview Operations,0 1 Highway 3 Highway,Sparwood,British Columbia,V0B 2G1,49.75808,-114.82594,Bituminous Coal Mining,Teck Coal Limited,Teck Coal Limited,526410.1138
G10106,2021,Elmworth Gas Plant,0,Elmworth,Alberta,T0H 1J0,55.0415,-119.631,Oil and gas extraction (except oil sands),Cenovus Energy Inc.,Cenovus,177766.7861
G10107,2021,Empress Gas Plant,,Medicine Hat,Alberta,T1A 7H3,50.676,-110.025,Oil and gas extraction (except oil sands),Plains Midstream Canada ULC,,60583.6427
G10108,2021,Empress 6,,Medicine Hat,Alberta,T1A 7N2,50.684,-110.03288,Oil and gas extraction (except oil sands),Plains Midstream Canada ULC,,271807.1993
G10111,2021,Exshaw Plant,1A Highway,Exshaw,Alberta,T0L 2C0,51.0682,-115.1364,Lime Manufacturing,Graymont Western Canada Inc.,Graymont Western Canada Inc.,168854.596
G10112,2021,Exshaw Cement Plant,1A Highway,Exshaw,Alberta,T0L 2C0,51.0589,-115.1745,Cement Manufacturing,Lafarge Canada Inc.,Lafarge Canada,1214227.759
G10113,2021,Faulkner Plant,239 Highway West,Faulkner,Manitoba,R0C 0Y0,51.4135,-98.765,Lime Manufacturing,Graymont Western Canada Inc.,Graymont Western Canada Inc.,109758.7315
G10114,2021,Woodstock Plant,3551551 35th Line,Woodstock,Ontario,N0J 1J0,43.0989,-80.8943,Cement Manufacturing,Federal White Cement Ltd.,Federal White Cement Ltd.,381125.5036
G10115,2021,Fording River Operations,0 100 PO Box Route,Elkford,British Columbia,V0B 1H0,50.18992,-114.87901,Bituminous Coal Mining,Teck Coal Limited,Teck Coal Limited,785924.1691
G10117,2021,Fort Nelson Gas Plant,0 285 Mile Alaska Highway,Fort Nelson,British Columbia,V0C 1R0,58.65461,-122.68815,Oil and gas extraction (except oil sands),NorthRiver Midstream Inc.,,390073.1931
G10118,2021,Fort Nelson Generating Station,1 Alaska Highway,Fort Nelson,British Columbia,V0C 1R0,58.64,-122.67,Fossil-Fuel Electric Power Generation,British Columbia Hydro and Power Authority,BC Hydro,129753.6234
G10119,2021,Fort Saskatchewan,10101 114 Street,Fort Saskatchewan,Alberta,T8L 2T3,53.7217,-113.1917,Non-Ferrous Metal (except Aluminum) Smelting and Refining,Sherritt International Corporation,,315165.3866
G10120,2021,Fort Saskatchewan Thermal Electric(Cogeneration) Power Plant,Highway 15 Highway,Fort Saskatchewan,Alberta,T8L 2P4,53.7235,-113.1738,Fossil-Fuel Electric Power Generation,TransAlta Cogeneration L.P.,,407689.8177
G10121,2021,Fort Saskatchewan Nitrogen Operations,11751 River Road,Fort Saskatchewan,Alberta,T8L 4J1,53.72539,-113.193,Chemical Fertilizer (except Potash) Manufacturing,Agrium Inc.,Agrium,658679.1655
G10122,2021,Fort Saskatchewan Storage and Fractionation,11010 125 Street,Fort Saskatchewan,Alberta,T8L 2T2,53.7575,-113.1499,Oil and gas extraction (except oil sands),Plains Midstream Canada ULC,,82829.094
G10125,2021,Fort Saskatchewan EOEG,Highway 15,Fort Saskatchewan,Alberta,T8L 2P4,53.7332,-113.175,Other Basic Organic Chemical Manufacturing,MEGlobal Canada ULC,MEGlobal Canada ULC,44325.1502
G10126,2021,Gathering,53 Alaska Highway,Fort St. John,British Columbia,V1J 4H7,56.09,-120.414,Oil and gas extraction (except oil sands),NorthRiver Midstream Inc.,,96930.47323
G10127,2021,Genesee Thermal Generating Station,0 50444 Highway 770,Warburg,Alberta,T0C 2T0,53.344,-114.305,Fossil-Fuel Electric Power Generation,Capital Power Generation Services Inc.,CPC,7593777.453
G10128,2021,"Gerdau Ameristeel Corporation, Whitby Mill",1 Gerdau Court,Whitby,Ontario,L1N 5T1,43.8578,-78.9097,Iron and Steel Mills and Ferro-Alloy Manufacturing,Gerdau Ameristeel Corporation,Gerdau Long Steel North America,128327.7184
G10130,2021,International Paper Canadian Pulp Holdings ULC,10 km SE on Resources Road,Grande Prairie,Alberta,T8V 3A9,55.07111,-118.69111,Chemical Pulp Mills,International Paper Company,,161575.3076
G10131,2021,Greenhills Operations,PO Box 5000 Highway,Elkford,British Columbia,V0B 1H0,50.085,-114.871,Bituminous Coal Mining,Teck Coal Limited,Teck Coal Limited,438496.7221
G10132,2021,H.R.Milner Generating Station,500 581073 40 Highway,Municipal District of Greenview,Alberta,,54.0071,-119.104,Fossil-Fuel Electric Power Generation,Milner Power Limited Partnership by its GP Milner Power Inc.,Milner Power Limited Partnership by its GP Milner Power Inc.,1154.760763
G10133,2021,Birla Carbon Canada Ltd.,755 Parkdale Avenue North,Hamilton,Ontario,L8H 7N5,43.2588,-79.7843,All Other Basic Inorganic Chemical Manufacturing,Birla Carbon Canada Ltd.,Birla Carbon,207139.2699
